dexnum,name,poppoint,wellknown,legendary,recent,sets,gen,prime,destype
1,이상해씨,9,1,0,1,1,1,1,monster
2,이상해풀,0,1,0,1,1,1,0,monster
3,이상해꽃,1,1,0,1,1,1,1,monster
4,파이리,4,1,0,1,2,1,1,dragon
5,리자드,0,1,0,1,2,1,0,dragon
6,리자몽,17,1,0,1,2,1,1,dragon
7,꼬부기,5,1,0,1,3,1,1,monster
8,어니부기,0,1,0,1,3,1,0,monster
9,거북왕,5,1,0,1,3,1,1,monster
10,캐터피,0,0,0,1,4,1,0,bug
11,단데기,0,0,0,1,4,1,0,bug
12,버터플,0,1,0,1,4,1,1,bug
13,뿔충이,0,0,0,1,5,1,0,bug
14,딱충이,0,0,0,1,5,1,0,bug
15,독침붕,0,0,0,1,5,1,1,bug
16,구구,0,0,0,1,6,1,0,bird
17,피죤,0,0,0,1,6,1,0,bird
18,피죤투,0,0,0,1,6,1,1,bird
19,꼬렛,0,0,0,1,7,1,0,animal
20,레트라,0,0,0,1,7,1,1,animal
21,깨비참,0,0,0,1,8,1,0,bird
22,깨비드릴조,0,0,0,1,8,1,1,bird
23,아보,0,0,0,1,9,1,0,long
24,아보크,0,0,0,1,9,1,1,long
25,피카츄,11,1,0,1,10,1,1,cute
26,라이츄,2,1,0,1,10,1,1,cute
27,모래두지,0,0,0,1,11,1,1,animal
28,고지,0,0,0,1,11,1,1,animal
29,니드런암컷,0,0,0,1,12,1,0,monster
30,니드리나,0,0,0,1,12,1,0,monster
31,니드퀸,0,0,0,1,12,1,1,monster
32,니드런수컷,0,0,0,1,12,1,0,monster
33,니드리노,0,0,0,1,12,1,0,monster
34,니드킹,3,0,0,1,12,1,1,monster
35,삐삐,0,0,0,1,13,1,1,cute
36,픽시,0,0,0,1,13,1,0,cute
37,식스테일,6,0,0,1,14,1,1,animal
38,나인테일,8,0,0,1,14,1,1,animal
39,푸린,0,0,0,1,15,1,0,cute
40,푸크린,0,0,0,1,15,1,1,cute
41,주뱃,0,0,0,1,16,1,1,bird
42,골뱃,0,0,0,1,16,1,0,bird
43,뚜벅쵸,0,0,0,1,17,1,0,grass
44,냄새꼬,0,0,0,1,17,1,0,grass
45,라플레시아,0,0,0,1,17,1,1,grass
46,파라스,0,0,0,1,18,1,0,bug
47,파라섹트,0,0,0,1,18,1,1,bug
48,콘팡,0,0,0,1,19,1,0,bug
49,도나리,0,0,0,1,19,1,1,bug
50,디그다,0,1,0,1,20,1,1,animal
51,닥트리오,0,1,0,1,20,1,1,animal
52,나옹,0,1,0,1,21,1,1,catlike
53,페르시온,0,0,0,1,21,1,0,catlike
54,고라파덕,2,0,0,1,22,1,1,animal
55,골덕,0,0,0,1,22,1,0,animal
56,망키,0,0,0,1,23,1,0,monster
57,성원숭,0,0,0,1,23,1,1,monster
58,가디,0,0,0,1,24,1,0,doglike
59,윈디,6,0,0,1,24,1,1,doglike
60,발챙이,0,0,0,1,25,1,0,water
61,슈륙챙이,0,0,0,1,25,1,0,water
62,강챙이,0,0,0,1,25,1,1,water
63,캐이시,0,0,0,1,26,1,0,humanoid
64,윤겔라,0,0,0,1,26,1,0,humanoid
65,후딘,0,0,0,1,26,1,1,humanoid
66,알통몬,0,0,0,1,27,1,0,humanoid
67,근육몬,0,0,0,1,27,1,0,humanoid
68,괴력몬,0,1,0,1,27,1,1,humanoid
69,모다피,0,0,0,1,28,1,0,grass
70,우츠동,0,0,0,1,28,1,0,grass
71,우츠보트,0,0,0,1,28,1,1,grass
72,왕눈해,0,0,0,1,29,1,0,marine
73,독파리,0,0,0,1,29,1,1,marine
74,꼬마돌,0,0,0,1,30,1,1,mineral
75,데구리,0,0,0,1,30,1,0,mineral
76,딱구리,0,0,0,1,30,1,1,mineral
77,포니타,2,0,0,1,31,1,1,animal
78,날쌩마,0,0,0,1,31,1,1,animal
79,야돈,3,0,0,1,32,1,1,animal
80,야도란,0,0,0,1,32,1,0,animal
81,코일,1,0,0,1,33,1,1,mineral
82,레어코일,0,0,0,1,33,1,0,mineral
83,파오리,0,0,0,1,34,1,0,bird
84,두두,0,0,0,1,35,1,1,bird
85,두트리오,0,0,0,1,35,1,0,bird
86,쥬쥬,0,0,0,1,36,1,0,water
87,쥬레곤,0,0,0,1,36,1,1,water
88,질퍽이,0,0,0,1,37,1,1,amorph
89,질뻐기,4,0,0,1,37,1,1,amorph
90,셀러,0,0,0,1,38,1,0,marine
91,파르셀,0,0,0,1,38,1,1,marine
92,고오스,0,0,0,1,39,1,0,ghost
93,고우스트,0,0,0,1,39,1,0,ghost
94,팬텀,10,0,0,1,39,1,1,ghost
95,롱스톤,0,0,0,1,40,1,1,long
96,슬리프,0,0,0,1,41,1,0,humanoid
97,슬리퍼,0,0,0,1,41,1,0,humanoid
98,크랩,0,0,0,1,42,1,0,marine
99,킹크랩,0,0,0,1,42,1,1,marine
100,찌리리공,0,0,0,1,43,1,1,mineral
101,붐볼,0,0,0,1,43,1,1,mineral
102,아라리,0,0,0,1,44,1,0,monster
103,나시,0,0,0,1,44,1,1,monster
104,탕구리,0,0,0,1,45,1,0,animal
105,텅구리,0,0,0,1,45,1,1,animal
106,시라소몬,0,0,0,1,46,1,1,humanoid
107,홍수몬,0,0,0,1,46,1,1,humanoid
108,내루미,0,0,0,1,47,1,1,monster
109,또가스,0,0,0,1,48,1,1,amorph
110,또도가스,0,0,0,1,48,1,0,amorph
111,뿔카노,0,0,0,1,49,1,0,animal
112,코뿌리,0,0,0,1,49,1,1,animal
113,럭키,0,0,0,1,50,1,1,cute
114,덩쿠리,0,0,0,1,51,1,0,grass
115,캥카,0,0,0,1,52,1,1,monster
116,쏘드라,0,0,0,1,53,1,0,water
117,시드라,0,0,0,1,53,1,0,water
118,콘치,0,0,0,1,54,1,1,fish
119,왕콘치,0,0,0,1,54,1,0,fish
120,별가사리,0,0,0,1,55,1,1,marine
121,아쿠스타,0,0,0,1,55,1,1,marine
122,마임맨,0,0,0,1,56,1,1,humanoid
123,스라크,0,0,0,1,57,1,0,bug
124,루주라,0,0,0,1,58,1,0,humanoid
125,에레브,0,0,0,1,59,1,0,monster
126,마그마,0,0,0,1,60,1,0,monster
127,쁘사이저,2,0,0,1,61,1,1,bug
128,켄타로스,0,0,0,1,62,1,1,animal
129,잉어킹,0,1,0,1,63,1,1,fish
130,갸라도스,0,1,0,1,63,1,1,fish
131,라프라스,6,1,0,1,64,1,1,water
132,메타몽,5,0,0,1,65,1,1,amorph
133,이브이,11,1,0,1,66,1,1,cute
134,샤미드,4,0,0,1,66,1,1,cute
135,쥬피썬더,2,0,0,1,66,1,1,cute
136,부스터,0,0,0,1,66,1,1,cute
137,폴리곤,3,0,0,1,67,1,1,mineral
138,암나이트,0,0,0,1,68,1,0,water
139,암스타,0,0,0,1,68,1,1,water
140,투구,0,0,0,1,69,1,0,water
141,투구푸스,0,0,0,1,69,1,1,water
142,프테라,0,0,0,1,70,1,1,monster
143,잠만보,5,1,0,1,71,1,1,cute
144,프리져,1,0,1,1,72,1,1,bird
145,썬더,0,0,1,1,73,1,1,bird
146,파이어,0,0,1,1,74,1,1,bird
147,미뇽,0,0,0,1,75,1,0,dragon
148,신뇽,1,0,0,1,75,1,1,dragon
149,망나뇽,7,0,0,1,75,1,1,dragon
150,뮤츠,9,1,1,1,76,1,1,humanoid
151,뮤,11,1,1,1,77,1,1,cute
152,치코리타,10,0,0,0,78,2,1,grass
153,베이리프,0,0,0,0,78,2,0,grass
154,메가니움,0,0,0,0,78,2,1,grass
155,브케인,9,0,0,0,79,2,1,monster
156,마그케인,2,0,0,0,79,2,1,monster
157,블레이범,9,0,0,0,79,2,1,monster
158,리아코,6,0,0,0,80,2,1,monster
159,엘리게이,0,0,0,0,80,2,0,monster
160,장크로다일,4,0,0,0,80,2,1,monster
161,꼬리선,0,0,0,0,81,2,0,cute
162,다꼬리,5,0,0,0,81,2,1,cute
163,부우부,0,0,0,0,82,2,0,bird
164,야부엉,0,0,0,0,82,2,1,bird
165,레디바,0,0,0,0,83,2,1,bug
166,레디안,0,0,0,0,83,2,0,bug
167,페이검,0,0,0,0,84,2,1,bug
168,아리아도스,0,0,0,0,84,2,0,bug
169,크로뱃,5,0,0,0,16,2,1,bird
170,초라기,0,0,0,0,85,2,1,fish
171,랜턴,0,0,0,0,85,2,0,fish
172,피츄,3,0,0,0,10,2,1,cute
173,삐,0,0,0,0,13,2,0,cute
174,푸푸린,0,0,0,0,15,2,0,cute
175,토게피,3,0,0,0,86,2,1,cute
176,토게틱,0,0,0,0,86,2,0,cute
177,네이티,4,0,0,0,87,2,1,bird
178,네이티오,0,0,0,0,87,2,1,bird
179,메리프,0,0,0,0,88,2,1,animal
180,보송송,0,0,0,0,88,2,0,animal
181,전룡,8,0,0,0,88,2,1,animal
182,아르코,0,0,0,0,17,2,1,grass
183,마릴,0,0,0,0,89,2,1,cute
184,마릴리,0,0,0,0,89,2,0,cute
185,꼬지모,0,0,0,0,90,2,1,mineral
186,왕구리,0,0,0,0,25,2,1,water
187,통통코,0,0,0,0,91,2,0,grass
188,두코,0,0,0,0,91,2,0,grass
189,솜솜코,0,0,0,0,91,2,1,grass
190,에이팜,0,0,0,0,92,2,1,cute
191,해너츠,0,0,0,0,93,2,0,grass
192,해루미,0,0,0,0,93,2,1,grass
193,왕자리,0,0,0,0,94,2,0,bug
194,우파,2,0,0,0,95,2,1,water
195,누오,3,0,0,0,95,2,1,water
196,에브이,6,0,0,0,66,2,1,cute
197,블래키,11,0,0,0,66,2,1,cute
198,니로우,0,0,0,0,96,2,0,bird
199,야도킹,0,0,0,0,32,2,0,animal
200,무우마,1,0,0,0,97,2,1,ghost
201,안농,0,0,0,0,98,2,1,mineral
202,마자용,1,0,0,0,99,2,1,cute
203,키링키,0,0,0,0,100,2,1,animal
204,피콘,0,0,0,0,101,2,0,grass
205,쏘콘,0,0,0,0,101,2,1,grass
206,노고치,0,0,0,0,102,2,1,long
207,글라이거,0,0,0,0,103,2,0,animal
208,강철톤,0,0,0,0,40,2,1,long
209,블루,0,0,0,0,104,2,1,cute
210,그랑블루,0,0,0,0,104,2,0,cute
211,침바루,0,0,0,0,105,2,1,fish
212,핫삼,8,0,0,0,57,2,1,bug
213,단단지,1,0,0,0,106,2,1,bug
214,헤라크로스,4,0,0,0,107,2,1,bug
215,포푸니,0,0,0,0,108,2,0,catlike
216,깜지곰,0,0,0,0,109,2,1,animal
217,링곰,0,0,0,0,109,2,0,animal
218,마그마그,0,0,0,0,110,2,0,amorph
219,마그카르고,0,0,0,0,110,2,1,amorph
220,꾸꾸리,0,0,0,0,111,2,0,animal
221,메꾸리,0,0,0,0,111,2,0,animal
222,코산호,0,0,0,0,112,2,1,marine
223,총어,0,0,0,0,113,2,0,water
224,대포무노,0,0,0,0,113,2,1,water
225,딜리버드,0,0,0,0,114,2,1,bird
226,만타인,0,0,0,0,115,2,1,water
227,무장조,0,0,0,0,116,2,1,bird
228,델빌,0,0,0,0,117,2,0,animal
229,헬가,3,0,0,0,117,2,1,animal
230,킹드라,1,0,0,0,53,2,1,water
231,코코리,0,0,0,0,118,2,1,animal
232,코리갑,0,0,0,0,118,2,1,animal
233,폴리곤2,2,0,0,0,67,2,1,mineral
234,노라키,0,0,0,0,119,2,1,animal
235,루브도,0,0,0,0,120,2,1,humanoid
236,배루키,0,0,0,0,46,2,0,humanoid
237,카포에라,0,0,0,0,46,2,1,humanoid
238,뽀뽀라,0,0,0,0,58,2,0,humanoid
239,에레키드,0,0,0,0,59,2,0,monster
240,마그비,0,0,0,0,60,2,0,monster
241,밀탱크,0,0,0,0,121,2,1,animal
242,해피너스,0,0,0,0,50,2,1,cute
243,라이코,0,0,1,0,122,2,1,catlike
244,엔테이,2,0,1,0,123,2,1,catlike
245,스이쿤,6,0,1,0,124,2,1,doglike
246,애버라스,0,0,0,0,125,2,1,dragon
247,데기라스,0,0,0,0,125,2,0,dragon
248,마기라스,11,0,0,0,125,2,1,dragon
249,루기아,12,0,1,0,126,2,1,dragon
250,칠색조,4,0,1,0,127,2,1,bird
251,세레비,9,0,1,0,128,2,1,cute
252,나무지기,1,0,0,0,129,3,1,grass
253,나무돌이,2,0,0,0,129,3,1,grass
254,나무킹,7,0,0,0,129,3,1,grass
255,아차모,3,0,0,0,130,3,1,bird
256,영치코,0,0,0,0,130,3,0,bird
257,번치코,9,0,0,0,130,3,1,bird
258,물짱이,9,0,0,0,131,3,1,fish
259,늪짱이,0,0,0,0,131,3,0,fish
260,대짱이,10,0,0,0,131,3,1,fish
261,포챠나,0,0,0,0,132,3,0,doglike
262,그라에나,1,0,0,0,132,3,1,doglike
263,지그제구리,0,0,0,0,133,3,1,animal
264,직구리,0,0,0,0,133,3,0,animal
265,개무소,0,0,0,0,134,3,0,bug
266,실쿤,0,0,0,0,134,3,0,bug
267,뷰티플라이,0,0,0,0,134,3,1,bug
268,카스쿤,0,0,0,0,134,3,0,bug
269,독케일,0,0,0,0,134,3,1,bug
270,연꽃몬,0,0,0,0,135,3,0,grass
271,로토스,0,0,0,0,135,3,0,grass
272,로파파,1,0,0,0,135,3,1,grass
273,도토링,0,0,0,0,136,3,0,grass
274,잎새코,0,0,0,0,136,3,0,grass
275,다탱구,0,0,0,0,136,3,1,grass
276,테일로,0,0,0,0,137,3,0,bird
277,스왈로,0,0,0,0,137,3,1,bird
278,갈모매,0,0,0,0,138,3,0,bird
279,패리퍼,0,0,0,0,138,3,1,bird
280,랄토스,0,0,0,0,139,3,1,humanoid
281,킬리아,0,0,0,0,139,3,1,humanoid
282,가디안,14,0,0,0,139,3,1,humanoid
283,비구술,0,0,0,0,140,3,0,bug
284,비나방,0,0,0,0,140,3,1,bug
285,버섯꼬,0,0,0,0,141,3,0,grass
286,버섯모,3,0,0,0,141,3,1,grass
287,게을로,0,0,0,0,142,3,0,monster
288,발바로,0,0,0,0,142,3,0,monster
289,게을킹,0,0,0,0,142,3,1,monster
290,토중몬,0,0,0,0,143,3,0,bug
291,아이스크,0,0,0,0,143,3,1,bug
292,껍질몬,1,0,0,0,143,3,1,bug
293,소곤룡,0,0,0,0,144,3,0,monster
294,노공룡,0,0,0,0,144,3,0,monster
295,폭음룡,0,0,0,0,144,3,1,monster
296,마크탕,0,0,0,0,145,3,1,humanoid
297,하리뭉,0,0,0,0,145,3,1,humanoid
298,루리리,0,0,0,0,89,3,1,cute
299,코코파스,0,0,0,0,146,3,0,mineral
300,에나비,0,0,0,0,147,3,1,catlike
301,델케티,0,0,0,0,147,3,1,catlike
302,깜까미,1,0,0,0,148,3,1,ghost
303,입치트,4,0,0,0,149,3,1,cute
304,가보리,5,0,0,0,150,3,1,mineral
305,갱도라,0,0,0,0,150,3,0,mineral
306,보스로라,5,0,0,0,150,3,1,mineral
307,요가랑,0,0,0,0,151,3,1,humanoid
308,요가램,0,0,0,0,151,3,0,humanoid
309,썬더라이,0,0,0,0,152,3,0,catlike
310,썬더볼트,0,0,0,0,152,3,1,catlike
311,플러시,0,0,0,0,153,3,1,cute
312,마이농,0,0,0,0,154,3,1,cute
313,볼비트,0,0,0,0,155,3,1,bug
314,네오비트,0,0,0,0,156,3,1,bug
315,로젤리아,0,0,0,0,157,3,0,grass
316,꼴깍몬,0,0,0,0,158,3,1,amorph
317,꿀꺽몬,0,0,0,0,158,3,0,amorph
318,샤프니아,0,0,0,0,159,3,0,fish
319,샤크니아,0,0,0,0,159,3,1,fish
320,고래왕자,0,0,0,0,160,3,0,fish
321,고래왕,0,0,0,0,160,3,1,fish
322,둔타,0,0,0,0,161,3,0,animal
323,폭타,0,0,0,0,161,3,1,animal
324,코터스,0,0,0,0,162,3,1,animal
325,피그점프,0,0,0,0,163,3,1,animal
326,피그킹,0,0,0,0,163,3,0,animal
327,얼루기,0,0,0,0,164,3,1,animal
328,톱치,0,0,0,0,165,3,1,bug
329,비브라바,0,0,0,0,165,3,0,bug
330,플라이곤,7,0,0,0,165,3,1,bug
331,선인왕,0,0,0,0,166,3,1,grass
332,밤선인,0,0,0,0,166,3,1,grass
333,파비코,0,0,0,0,167,3,0,cute
334,파비코리,4,0,0,0,167,3,1,cute
335,쟝고,0,0,0,0,168,3,1,catlike
336,세비퍼,0,0,0,0,169,3,1,long
337,루나톤,0,0,0,0,170,3,1,mineral
338,솔록,0,0,0,0,171,3,1,mineral
339,미꾸리,0,0,0,0,172,3,0,fish
340,메깅,0,0,0,0,172,3,1,fish
341,가재군,0,0,0,0,173,3,1,water
342,가재장군,0,0,0,0,173,3,1,water
343,오뚝군,0,0,0,0,174,3,0,mineral
344,점토도리,0,0,0,0,174,3,1,mineral
345,릴링,0,0,0,0,175,3,0,grass
346,릴리요,0,0,0,0,175,3,1,grass
347,아노딥스,0,0,0,0,176,3,0,bug
348,아말도,0,0,0,0,176,3,1,bug
349,빈티나,0,0,0,0,177,3,0,fish
350,밀로틱,6,0,0,0,177,3,1,fish
351,캐스퐁,0,0,0,0,178,3,1,cute
352,켈리몬,0,0,0,0,179,3,1,animal
353,어둠대신,0,0,0,0,180,3,0,ghost
354,다크펫,2,0,0,0,180,3,1,ghost
355,해골몽,0,0,0,0,181,3,0,ghost
356,미라몽,0,0,0,0,181,3,0,ghost
357,트로피우스,0,0,0,0,182,3,0,dragon
358,치렁,0,0,0,0,183,3,1,cute
359,앱솔,6,0,0,0,184,3,1,animal
360,마자,0,0,0,0,99,3,0,cute
361,눈꼬마,0,0,0,0,185,3,1,monster
362,얼음귀신,0,0,0,0,185,3,0,monster
363,대굴레오,0,0,0,0,186,3,1,water
364,씨레오,0,0,0,0,186,3,0,water
365,씨카이저,0,0,0,0,186,3,1,water
366,진주몽,0,0,0,0,187,3,0,marine
367,헌테일,0,0,0,0,187,3,1,marine
368,분홍장이,0,0,0,0,187,3,1,marine
369,시라칸,0,0,0,0,188,3,1,fish
370,사랑동이,0,0,0,0,189,3,1,fish
371,아공이,0,0,0,0,190,3,0,dragon
372,쉘곤,0,0,0,0,190,3,0,dragon
373,보만다,5,0,0,0,190,3,1,dragon
374,메탕,0,0,0,0,191,3,0,mineral
375,메탕구,0,0,0,0,191,3,0,mineral
376,메타그로스,6,0,0,0,191,3,1,mineral
377,레지락,0,0,1,0,192,3,1,monster
378,레지아이스,0,0,1,0,193,3,1,monster
379,레지스틸,0,0,1,0,194,3,1,monster
380,라티아스,4,0,1,0,195,3,1,dragon
381,라티오스,3,0,1,0,196,3,1,dragon
382,가이오가,5,0,1,0,197,3,1,fish
383,그란돈,4,0,1,0,198,3,1,monster
384,레쿠쟈,12,0,1,0,199,3,1,dragon
385,지라치,9,0,1,0,200,3,1,cute
386,테오키스,2,0,1,0,201,3,1,humanoid
387,모부기,3,0,0,0,202,4,1,grass
388,수풀부기,0,0,0,0,202,4,0,grass
389,토대부기,5,0,0,0,202,4,1,grass
390,불꽃숭이,0,0,0,0,203,4,1,humanoid
391,파이숭이,0,0,0,0,203,4,0,humanoid
392,초염몽,9,0,0,0,203,4,1,humanoid
393,팽도리,11,0,0,0,204,4,1,cute
394,팽태자,0,0,0,0,204,4,0,cute
395,엠페르트,7,0,0,0,204,4,1,cute
396,찌르꼬,0,0,0,0,205,4,0,bird
397,찌르버드,0,0,0,0,205,4,0,bird
398,찌르호크,4,0,0,0,205,4,1,bird
399,비버니,3,0,0,0,206,4,1,animal
400,비버통,0,0,0,0,206,4,0,animal
401,귀뚤뚜기,0,0,0,0,207,4,0,bug
402,귀뚤톡크,0,0,0,0,207,4,1,bug
403,꼬링크,1,0,0,0,208,4,1,catlike
404,럭시오,0,0,0,0,208,4,1,catlike
405,렌트라,7,0,0,0,208,4,1,catlike
406,꼬몽울,0,0,0,0,157,4,1,grass
407,로즈레이드,2,0,0,0,157,4,1,grass
408,두개도스,0,0,0,0,209,4,0,dragon
409,램펄드,0,0,0,0,209,4,1,dragon
410,방패톱스,0,0,0,0,210,4,0,mineral
411,바리톱스,0,0,0,0,210,4,1,mineral
412,도롱충이,0,0,0,0,211,4,0,bug
413,도롱마담,0,0,0,0,211,4,1,bug
414,나메일,0,0,0,0,211,4,1,bug
415,세꿀버리,0,0,0,0,212,4,0,bug
416,비퀸,0,0,0,0,212,4,1,bug
417,파치리스,7,0,0,0,213,4,1,cute
418,브이젤,0,0,0,0,214,4,1,water
419,플로젤,0,0,0,0,214,4,0,water
420,체리버,0,0,0,0,215,4,1,grass
421,체리꼬,0,0,0,0,215,4,1,grass
422,깝질무,0,0,0,0,216,4,0,amorph
423,트리토돈,0,0,0,0,216,4,1,amorph
424,겟핸보숭,0,0,0,0,92,4,0,cute
425,흔들풍손,0,0,0,0,217,4,1,ghost
426,둥실라이드,0,0,0,0,217,4,0,ghost
427,이어롤,0,0,0,0,218,4,1,cute
428,이어롭,3,0,0,0,218,4,1,cute
429,무우마직,1,0,0,0,97,4,1,ghost
430,돈크로우,0,0,0,0,96,4,1,bird
431,나옹마,0,0,0,0,219,4,1,catlike
432,몬냥이,0,0,0,0,219,4,0,catlike
433,랑딸랑,0,0,0,0,183,4,1,cute
434,스컹뿡,0,0,0,0,220,4,1,animal
435,스컹탱크,0,0,0,0,220,4,0,animal
436,동미러,0,0,0,0,221,4,0,mineral
437,동탁군,0,0,0,0,221,4,1,mineral
438,꼬지지,0,0,0,0,90,4,1,mineral
439,흉내내,0,0,0,0,56,4,1,humanoid
440,핑복,0,0,0,0,50,4,1,cute
441,페라페,0,0,0,0,222,4,1,bird
442,화강돌,0,0,0,0,223,4,1,ghost
443,딥상어동,0,0,0,0,224,4,0,dragon
444,한바이트,0,0,0,0,224,4,0,dragon
445,한카리아스,8,0,0,0,224,4,1,dragon
446,먹고자,1,0,0,0,71,4,1,cute
447,리오르,0,0,0,0,225,4,1,doglike
448,루카리오,12,0,0,0,225,4,1,doglike
449,히포포타스,0,0,0,0,226,4,0,animal
450,하마돈,0,0,0,0,226,4,1,animal
451,스콜피,0,0,0,0,227,4,0,bug
452,드래피온,0,0,0,0,227,4,1,bug
453,삐딱구리,0,0,0,0,228,4,1,water
454,독개굴,0,0,0,0,228,4,0,water
455,무스틈니,0,0,0,0,229,4,1,grass
456,형광어,0,0,0,0,230,4,0,fish
457,네오라이트,0,0,0,0,230,4,1,fish
458,타만타,0,0,0,0,115,4,1,water
459,눈쓰개,0,0,0,0,231,4,0,grass
460,눈설왕,0,0,0,0,231,4,1,grass
461,포푸니라,3,0,0,0,108,4,1,catlike
462,자포코일,0,0,0,0,33,4,1,mineral
463,내룸벨트,0,0,0,0,47,4,1,monster
464,거대코뿌리,0,0,0,0,49,4,1,monster
465,덩쿠림보,0,0,0,0,51,4,1,grass
466,에레키블,0,0,0,0,59,4,1,monster
467,마그마번,0,0,0,0,60,4,1,monster
468,토게키스,4,0,0,0,86,4,1,cute
469,메가자리,0,0,0,0,94,4,1,bug
470,리피아,5,0,0,0,66,4,1,cute
471,글레이시아,6,0,0,0,66,4,1,cute
472,글라이온,4,0,0,0,103,4,1,animal
473,맘모꾸리,0,0,0,0,111,4,1,animal
474,폴리곤Z,1,0,0,0,67,4,1,mineral
475,엘레이드,4,0,0,0,139,4,1,humanoid
476,대코파스,0,0,0,0,146,4,1,mineral
477,야느와르몽,0,0,0,0,181,4,1,ghost
478,눈여아,2,0,0,0,185,4,1,monster
479,로토무,2,0,0,0,232,4,1,ghost
480,유크시,0,0,1,0,233,4,1,cute
481,엠라이트,0,0,1,0,234,4,1,cute
482,아그놈,0,0,1,0,235,4,1,cute
483,디아루가,5,0,1,0,236,4,1,dragon
484,펄기아,0,0,1,0,237,4,1,dragon
485,히드런,0,0,1,0,238,4,1,bug
